CIK,YEARA,P_AAER,UNDERSTATEMENT
846815,2003,2581,0
846815,2004,2581,0
846909,2000,1722,0
848462,1989,543,0
848462,1990,543,0
848462,1991,543,0
849547,1994,3073,0
849547,1995,3073,0
849547,1996,3073,0
849547,1997,3073,0
849547,1998,3073,0
849547,1999,3073,0
849547,2000,3073,0
849547,2001,3073,0
849547,2002,3073,0
849547,2003,3073,0
849547,2004,3073,0
849547,2005,3073,0
849547,2006,3073,0
849642,1989,512,0
849667,2002,2877,0
849667,2003,2877,0
849667,2004,2877,0
850415,1994,895,0
850415,1995,895,0
852615,1990,951,0
852615,1991,951,0
852615,1992,951,0
852615,1993,951,0
852615,1994,951,0
854499,2000,2124,0
854499,2001,2124,0
854499,2002,2124,0
854701,1997,2661,0
854701,1998,2661,0
854701,1999,2661,0
854701,2000,2661,0
854701,2001,2661,0
854701,2002,2661,0
854701,2003,2661,0
854701,2004,2661,0
854701,2005,2661,0
855334,1992,844,0
855424,2004,3071,0
855424,2005,3071,0
855424,2006,3071,0
855424,2007,3071,0
855684,2002,2596,0
857351,1990,807,0
857471,1999,2290,0
857737,1997,1766,0
859475,1993,3154,0
859475,1994,3154,0
859475,1995,3154,0
859475,1996,3154,0
859475,1997,3154,0
859475,1998,3154,0
859475,1999,3154,0
859475,2000,3154,0
859475,2001,3154,0
859475,2002,3154,0
859475,2003,3154,0
859475,2004,3154,0
859475,2005,3154,0
859475,2006,3154,0
859640,1993,1233,0
860518,1996,1223,0
860518,1997,1223,0
861438,1996,1568,0
865072,1992,958,0
865072,1993,958,0
865072,1994,958,0
865072,1995,958,0
866535,2003,2896,0
867058,1997,2953,0
867058,1998,2953,0
867058,1999,2953,0
867058,2000,2953,0
867058,2001,2953,0
867058,2002,2953,0
867058,2003,2953,0
867058,2004,2953,0
867058,2005,2953,0
871424,1993,1067,0
872821,2009,3582,0
872867,1998,1938,0
872867,1999,1938,0
872867,2000,1938,0
872867,2001,1938,0
873860,2013,3733,3
874268,1989,1126,0
874268,1990,1126,0
874268,1991,1126,0
874268,1992,1126,0
874268,1993,1126,0
875620,1992,598,0
875620,1993,598,0
875729,1992,700,0
875729,1993,700,0
876134,1991,960,1
876490,1992,782,0
876889,1995,990,0
876889,1996,990,0
876896,1992,942,0
878522,2001,2913,0
878522,2002,2913,0
878522,2003,2913,0
878522,2004,2913,0
878556,1995,1343,0
878932,2005,3143,0
879301,1992,1071,0
879301,1993,1071,0
880446,1996,3217,0
880446,1997,3217,0
880446,1998,3217,0
880446,1999,3217,0
880446,2000,3217,0
880446,2001,3217,0
880446,2002,3217,0
880446,2003,3217,0
880446,2004,3217,0
880446,2005,3217,0
880562,1999,1559,0
882692,1994,846,0
883296,1998,1731,0
883296,1999,1731,0
883587,2001,2611,0
883587,2002,2611,0
883587,2003,2611,0
883902,1999,1893,0
883902,2000,1893,0
883908,1992,1385,0
883908,1993,1385,0
883944,1992,776,0
884497,1999,3022,0
884497,2000,3022,0
884497,2001,3022,0
884497,2002,3022,0
884497,2003,3022,0
884497,2004,3022,0
884940,2010,3704,0
884940,2011,3704,0
885520,1991,833,0
885590,2001,2801,0
885590,2002,2801,0
885725,1997,1295,0
885942,1982,72,0
885942,1983,72,0
887403,2000,2172,0
887403,2001,2172,0
887403,2002,2172,0
887708,1993,950,1
887919,2001,2306,0
887919,2002,2306,0
888919,1997,2847,0
888919,1998,2847,0
888919,1999,2847,0
888919,2000,2847,0
888919,2001,2847,0
888919,2002,2847,0
888919,2003,2847,0
888919,2004,2847,0
888919,2005,2847,0
889899,1993,1237,0
